strategy,floor_ft,setback_m,pit_area_acre,cut_total_Mm3,cut_cap_Mm3,cut_base_Mm3,need_bank_Mm3,need_fill_bank_Mm3,need_agg_bank_Mm3,balance_total,balance_base_only,gross_Mm3,net_Mm3,net_GWh_518m
全环 RCC,4050,0.00,135.34,1.08,1.08,0.00,37.69,0.00,37.69,0.03,0.00,38.76,37.17,44.60
全环 RCC,4000,0.00,135.34,2.36,2.36,0.00,37.69,0.00,37.69,0.06,0.00,40.03,38.45,46.13
全环 RCC,3950,0.00,135.34,4.42,4.42,0.00,37.69,0.00,37.69,0.12,0.00,42.10,40.51,48.61
全环 RCC,3900,0.00,135.34,7.35,4.42,2.93,37.69,0.00,37.69,0.20,0.08,45.03,43.44,52.12
全环 RCC,3850,0.00,135.34,11.23,4.42,6.81,37.69,0.00,37.69,0.30,0.18,48.91,47.32,56.78
全环 RCC,3800,0.00,135.34,16.23,4.42,11.81,37.69,0.00,37.69,0.43,0.31,53.91,52.32,62.78
全环 RCC,3750,0.00,135.34,22.76,4.42,18.33,37.69,0.00,37.69,0.60,0.49,60.43,58.85,70.60
全环 RCC,3700,0.00,135.34,30.64,4.42,26.22,37.69,0.00,37.69,0.81,0.70,68.32,66.74,80.07
全环 RCC,3650,11.43,122.57,36.07,3.87,32.20,37.69,0.00,37.69,0.96,0.85,73.85,72.27,86.71
全环 RCC,3600,22.86,110.12,39.87,3.37,36.49,37.69,0.00,37.69,1.06,0.97,77.73,76.14,91.36
全环 RCC,3550,34.29,98.01,42.11,2.93,39.18,37.69,0.00,37.69,1.12,1.04,80.04,78.45,94.13
全环 RCC,3500,45.72,86.26,42.90,2.54,40.37,37.69,0.00,37.69,1.14,1.07,80.88,79.29,95.14
组合 II（陡坡 RCC + 其余 CFRD）,4050,0.00,49.52,1.06,1.06,0.00,63.74,47.78,15.96,0.02,0.00,38.73,22.11,26.53
组合 II（陡坡 RCC + 其余 CFRD）,4000,0.00,49.52,2.18,2.18,0.00,63.74,47.78,15.96,0.03,0.00,39.86,23.24,27.88
组合 II（陡坡 RCC + 其余 CFRD）,3950,0.00,49.52,3.86,3.86,0.00,63.74,47.78,15.96,0.06,0.00,41.54,24.92,29.90
组合 II（陡坡 RCC + 其余 CFRD）,3900,0.00,49.52,6.13,3.86,2.27,63.74,47.78,15.96,0.10,0.04,43.81,27.19,32.62
组合 II（陡坡 RCC + 其余 CFRD）,3850,0.00,49.52,8.85,3.86,4.99,63.74,47.78,15.96,0.14,0.08,46.52,29.91,35.88
组合 II（陡坡 RCC + 其余 CFRD）,3800,0.00,49.52,11.81,3.86,7.95,63.74,47.78,15.96,0.19,0.12,49.48,32.86,39.43
组合 II（陡坡 RCC + 其余 CFRD）,3750,0.00,49.52,14.86,3.86,11.00,63.74,47.78,15.96,0.23,0.17,52.53,35.91,43.09
组合 II（陡坡 RCC + 其余 CFRD）,3700,0.00,49.52,17.91,3.86,14.05,63.74,47.78,15.96,0.28,0.22,55.59,38.97,46.75
组合 II（陡坡 RCC + 其余 CFRD）,3650,11.43,40.91,17.76,3.36,14.40,63.74,47.78,15.96,0.28,0.23,55.54,38.92,46.70
组合 II（陡坡 RCC + 其余 CFRD）,3600,22.86,32.88,16.71,2.91,13.81,63.74,47.78,15.96,0.26,0.22,54.58,37.96,45.55
组合 II（陡坡 RCC + 其余 CFRD）,3550,34.29,25.64,14.98,2.48,12.50,63.74,47.78,15.96,0.24,0.20,52.91,36.29,43.54
组合 II（陡坡 RCC + 其余 CFRD）,3500,45.72,19.75,12.97,2.08,10.89,63.74,47.78,15.96,0.20,0.17,50.94,34.33,41.19
RCC 高段(1-4) + 堆石边界段(5-12),4050,0.00,106.02,1.06,1.06,0.00,46.39,11.49,34.90,0.02,0.00,38.73,32.82,39.38
RCC 高段(1-4) + 堆石边界段(5-12),4000,0.00,106.02,2.18,2.18,0.00,46.39,11.49,34.90,0.05,0.00,39.86,33.95,40.73
RCC 高段(1-4) + 堆石边界段(5-12),3950,0.00,106.02,3.86,3.86,0.00,46.39,11.49,34.90,0.08,0.00,41.54,35.63,42.75
RCC 高段(1-4) + 堆石边界段(5-12),3900,0.00,106.02,6.14,3.86,2.28,46.39,11.49,34.90,0.13,0.05,43.81,37.90,45.48
RCC 高段(1-4) + 堆石边界段(5-12),3850,0.00,106.02,9.04,3.86,5.18,46.39,11.49,34.90,0.19,0.11,46.72,40.81,48.97
RCC 高段(1-4) + 堆石边界段(5-12),3800,0.00,106.02,12.71,3.86,8.85,46.39,11.49,34.90,0.27,0.19,50.38,44.48,53.36
RCC 高段(1-4) + 堆石边界段(5-12),3750,0.00,106.02,17.59,3.86,13.73,46.39,11.49,34.90,0.38,0.30,55.27,49.36,59.22
RCC 高段(1-4) + 堆石边界段(5-12),3700,0.00,106.02,23.71,3.86,19.85,46.39,11.49,34.90,0.51,0.43,61.38,55.48,66.56
RCC 高段(1-4) + 堆石边界段(5-12),3650,11.43,93.17,27.37,3.36,24.01,46.39,11.49,34.90,0.59,0.52,65.15,59.24,71.08
